Job Title,Company Name,Location,Categorie,Job type,Seniority,Minimum experience,Salary,Job Description,Job URL
Investment Management Associate,WHITE SOCIETY PTE. LTD.,N/A,"Banking and Finance, Consulting, Customer Service, Professional Services",Full Time,Junior Executive,No exp required,"$4,250to$6,450","Job Description - Represent a top Global Bank - Portfolio Construction and Portfolio Management - Update clients on market movements and the economy - Business Development to onboard mass affluent and high net worth clients - Attend investment monthly fund house trainings (fully funded by company) - Relationship Management with existing clients - Introduction of Wealth Management tools to clients - Customised career progression (Sales or Management Track)   Training Provided - Monthly investment training by more than 30 Global Asset Managers (JP Morgan, Goldman Sachs, Franklin Templeton, BlackRock etc.) - In-house training by professional and internal trainers - Training allowance provided for successful candidates - Communications training - Management training - Structured training to put you on the path of success  Requirements - Go Getter - Excellent communication skills - Highly motivated individuals who work well in a team - Local Diploma / Full 'A' Level Cert / Degree - Candidates with a background in Wealth Management or Sales would have an added advantage",https://www.mycareersfuture.gov.sg/job/banking-finance/investment-management-associate-white-society-3d819ebbd9237886c24e06fc65400b1f?source=MCF&event=Search
Business Development Manager | East,RMA CONTRACTS PTE. LTD.,8 KAKI BUKIT AVENUE 1 417941,"Admin / Secretarial, Consulting, Human Resources, Marketing / Public Relations","Permanent, Full Time",Manager,5 years exp,"$5,000to$6,000","As the Business Development Manager, your primary responsibility will be identifying new business opportunities and developing relationships with current and potential clients. You will lead the sales effort, manage the sales process, and close deals. Additionally, you will collaborate closely with other departments to develop and implement strategies that align with our business goals.  Primary Responsibilities:  Develop and implement comprehensive business strategies and initiatives that drive the overall business performance, while exploring and expanding into new markets Formulate and execute strategic plans to identify, target, and secure new corporate clients and partners Actively engage with potential referrers and prospects to generate a strong pipeline of new business opportunities Proactively follow up with prospects to establish and maintain relationships and convert them into long-term clients Build and maintain a detailed database of prospective projects and client information to effectively manage and prioritize sales activities Develop a deep understanding of the company's offerings to identify profitable business opportunities and provide insights for strategic decision-making Support the preparation of sales and marketing materials, including proposals, presentations, and other related documents Participate in trade shows, industry events, and partner conferences to gather market intelligence, provide recommendations, and improve the company's visibility in the market Collaborate with internal departments, external business partners, agencies, and consultants to ensure client requirements are met or exceeded  Requirements  Bachelor’s degree in related discipline Proven track record in business development and corporate sales. Having experience in Business Grant application experience will be an advantage. Strong communication, negotiation, and interpersonal skills Excellent organizational and project management skills Fluency in English and Chinese with the ability to conduct business meetings and build strong relationships with our Chinese-speaking clients.",https://www.mycareersfuture.gov.sg/job/admin/business-development-manager-east-rma-contracts-2027b87c972216de0713b2049332ddb3?source=MCF&event=Search
Banking Associate,WHITE SOCIETY PTE. LTD.,N/A,Banking and Finance,Full Time,Junior Executive,No exp required,"$4,250to$6,450","- Represent a top Global Bank - Portfolio Construction and Portfolio Management - Update clients on market movements and the economy - Business Development to onboard mass affluent and high net worth clients - Attend investment monthly fund house trainings (fully funded by company) - Relationship Management with existing clients - Introduction of Wealth Management tools to clients - Customised career progression (Sales or Management Track)   Training provided - Monthly investment training by more than 30 Global Asset Managers (JP Morgan, Goldman Sachs, Franklin Templeton, BlackRock etc.) - In-house training by professional and internal trainers - Training allowance provided for successful candidates - Communications training - Management training - Structured training to put you on the path of success  Requirements: - Go Getter - Excellent communication skills - Highly motivated individuals who work well in a team - Local Diploma / Full 'A' Level Cert / Degree - Candidates with a background in Wealth Management or Sales would have an added advantage",https://www.mycareersfuture.gov.sg/job/banking-finance/banking-associate-white-society-c4882be21d79903e7fe97a4323bb82a9?source=MCF&event=Search
AVP - Infrastructure Solution Lead,TANGSPAC CONSULTING PTE LTD,"THE OCTAGON, 105 CECIL STREET 069534",Information Technology,Permanent,Senior Executive,6 years exp,"$7,500to$10,000","Working for a large financial institutions , you will be part of their Infrastructure solution lead / architect to design various infrsatructure solution Your responsibilities will include:  Involved in deployment, implementation of cloud, services and endpoint solution Provide expertise to technical team and providing design and implementation advices Provide timely escalation and resolution of issues relating digital workplace Optimise supported services, practices and processes associated with Microsoft endpoint management platforms efficiency, security, capacity, scalability, and availability to realise high levels of client satisfaction Support software/application deployment strategy for Windows devices across the university   Requirements  Min 6 years of experience in IT Min. 5 years’ experience in IT  infrastructure solutioning and project management Good experience working with endpoint manager, M365 , Ms Azure, Active directory, SAAS, PAAS Experience with device group policies and configuration profiles: Create and maintain group policies and configuration profiles through Active Directory and Intune Experience ensuring device compliance with latest Windows security updates Excellent communication and analytical skills  Interested candidates please email your resume to subagio@tangspac.com",https://www.mycareersfuture.gov.sg/job/information-technology/avp-infrastructure-solution-lead-tangspac-consulting-32bf3c8d71406a5d3c4dc94976bc1f63?source=MCF&event=Search
Event Marketing Intern,CLARION EVENTS PTE. LTD.,"ONE RAFFLES PLACE, 1 RAFFLES PLACE 048616",Marketing / Public Relations,Internship/Attachment,Fresh/entry level,No exp required,"$1,300to$1,300","Commitment period: May to October 2025  Clarion Events Asia is searching for a dynamic and creative Event Marketing Intern to join our team for the upcoming energy events in Asia!  This internship opportunity is ideal for individuals seeking experience in the events sector, particularly in event marketing. As an intern, you will play a vital role in driving delegate and visitor attendance, executing marketing campaigns, fostering partnerships, engaging in social media activities, and delivering exceptional customer service to our clients.  As a Marketing Intern, we invest in your learning and development as you support the Marketing Managers in:  Coordinate and execute marketing deliverables with supporting media, associations, sponsors and exhibitors List the event on relevant media sites Schedule social media posts across various channels Craft engaging copy for marketing email campaigns and the website Build data of curated target audiences for marketing promotions Create branding and marketing collaterals to attract a diverse audience Set up and manage the networking platform/event app, handling inquiries before and during the event Manage attendee and exhibitor registrations  The ideal candidate for this internship is someone who:  Has an interest in event marketing, data analytics, digital marketing, and technology Demonstrates familiarity with email marketing and social media platforms Possesses strong time management and organisational skills Maintains a data-driven mindset with a creative flair Exhibits an enthusiastic and proactive attitude Is proficient in Microsoft PowerPoint & Excel and is willing to learn other tools Has clear and confident communication skills  While an interest in creative work and proficiency in another language are desirable, they are not compulsory. We encourage applications from candidates regardless of these skills.  We are committed to working with you to achieve tangible outcomes and support your self-defined learning objectives throughout the program.",https://www.mycareersfuture.gov.sg/job/marketing/event-marketing-intern-clarion-events-e7d6f194d14c34dba2cda6f580a2dbf8?source=MCF&event=Search
Database Administrator,NCS PTE. LTD.,"NCS HUB, 5 ANG MO KIO STREET 62 569141",Information Technology,"Permanent, Full Time",Professional,3 years exp,"$7,000to$10,000","NCS is a leading technology services firm that operates across the Asia Pacific region in over 20 cities, providing consulting, digital services, technology solutions, and more. We believe in harnessing the power of technology to achieve extraordinary things, creating lasting value and impact for our communities, partners, and people. Our diverse workforce of 13,000 has delivered large-scale, mission-critical, and multi-platform projects for governments and enterprises in Singapore and the APAC region. We’re searching for a Database Administrator to be part of our diverse team of talents here at NCS! If you believe in going above and beyond, want to exemplify the best, and wish to bring people and technology together like never before, then we would love to have a conversation with you! What we seek to accomplish together:  Manage database changes through change request process & provide status reports to the relevant parties. Provide 1st and 2nd level operational database support. Assist and respond promptly to incident, investigate & provide temporary &/or permanent resolution of incidents escalated. Provide timely status updates to relevant parties. Lead and monitor & measure the performance & availability of databases proactively; implement corrective actions identified to improve performance & availability. Lead and monitor the agreed service level, document & maintain the configuration of the databases; provide regular reporting to relevant parties. Ensure service level meet requirement. Propose and implement action plan when required. Lead and monitor databases according to standard operations procedures. Lead in the implementation of service continuity measures, i.e., backup/restore procedures & disaster recovery plan, to ensure continuous operation of the business. Involve and lead in database implementation. Keep abreast of database technologies. A good team player and leader. Prompt 24x7 support. Good customer service.  A little bit about you:  Diploma / Degree in Information Technology, Computer Science or equivalent 3 - 5 years of experience in Oracle database administration 3 - 5 years of experience in SQL database administration  We are driven by our AEIOU beliefs—Adventure, Excellence, Integrity, Ownership, and Unity—and we seek individuals who embody these values in both their professional and personal lives. We are committed to our Impact: Valuing our clients, Growing our people, and Creating our future. Together, we make the extraordinary happen. Learn more about us at ncs.co and visit our LinkedIn career site. We handle all profiles with the highest level of confidentiality.",https://www.mycareersfuture.gov.sg/job/information-technology/database-administrator-ncs-e457d582f427dedc525df4a6ecfee8c1?source=MCF&event=Search
"Senior Manager /  Associate Director, Advisory and Impact",ASIA COMMUNITY FOUNDATION LTD.,20 PECK SEAH STREET 079312,Professional Services,Full Time,Middle Management,7 years exp,"$7,000to$8,000","Position Overview: The Senior Manager / Associate Director for the Advisory and Impact team will lead strategic advisory services, drive impact measurement initiatives, and oversee the development and management of ACF impact funds. Crucial to this role is building and strengthening relationships with social impact partners, donors, and other stakeholders, while ensuring effective and efficient management of the organisation’s impact funds. The Senior Manager / Associate Director will also play a critical role in the design, implementation, and evaluation of impact-driven projects, providing thoughtful guidance to ensure that advisory services are impactful and aligned with a donor’s or organisation’s funding objectives.  Key Responsibilities:  Impact Fund Management:  Oversee the development and management of impact funds, working closely with fund Champion and issue experts to define the strategic approach, identify and outreach to partners, determine fund allocation, and track performance against agreed impact goals Identify and source relevant issue experts to inform fund development, leveraging ACF board members, donors and network as appropriate Liaise with internal teams and external partners to ensure impact funds are effectively deployed, monitored, and evaluated Develop operating models to ensure financial sustainability of impact funds Identify opportunities to maximise impact investments and leverage additional funding to support initiatives Design and implement impact measurement frameworks and work with partners to track and report agreed indicators and outcomes  Advisory Services:  Lead strategic grant advisory engagements with donors, providing recommendations and guidance on thematic issue areas, programme design, and impact assessment Develop and nurture relationships with external stakeholders, including social impact partner and donors, ensuring alignment with organisational priorities and objectives Provide insights on emerging trends in social sector initiatives and philanthropic practices  Team Leadership and Collaboration:  Manage and mentor a team of associates and interns, fostering a culture of collaboration, innovation, and high performance Collaborate with cross-functional teams, including donor development and marketing, to ensure the integration of advisory and impact strategies into organisational workflows Lead capacity-building initiatives, providing training and resources to internal team members on best practices for impact measurement and advisory services.  Reporting and Communication:  Prepare high-quality reports, presentations, and proposals for donors, partners, and other key stakeholders, ensuring clarity, impact, and alignment with organisational goals Represent the organisation at external events, conferences, and forums, sharing insights and building the organisation’s profile in the sector   Requirements   A master’s degree in a relevant field (e.g., International Development, Business Administration, Social Impact, Economics). At least 7-10 years of experience in regional grant advisory services, impact measurement, and/or programme management within the social impact or development sector Strong experience in managing relationships with donors, partners, and other stakeholders Experience in leading teams and working in cross-functional settings Strong analytical and strategic thinking skills, with the ability to translate complex data into actionable insights Excellent communication and interpersonal skills, with the ability to build and maintain relationships at all levels Experience in impact measurement methodologies and frameworks Demonstrated ability to manage multiple projects and deadlines, with a results-driven mindset Proficiency in Microsoft Office Suite, including Excel and PowerPoint; experience with impact measurement tools is a plus Passion for driving positive social change through collaboration and building trusted relationships Creative, adaptable mindset, willing to take on challenges and work in a fast-paced environment",https://www.mycareersfuture.gov.sg/job/professional-services/senior-manager-associate-director-advisory-impact-asia-community-foundation-b46e408ee104af1166e62fa254479246?source=MCF&event=Search
Senior Network Engineer,NCS PTE. LTD.,"NCS HUB, 5 ANG MO KIO STREET 62 569141",Information Technology,Full Time,Professional,5 years exp,"$7,000to$10,000","We’re searching for a Network Engineer to be part of our diverse team of talent here at NCS!  If you believe in going above and beyond, want to exemplify the best, and wish to bring people and technology together like never before, then we would love to have a conversation with you!  What we seek to accomplish together: The Network Engineer is responsible to provide operational support to network infrastructure, support to the clients and resolution of technical issues and conducting root cause analysis. The network engineer is also required to manage change request through changes requests processes including requirement gathering, impact analysis, design, testing to integrate the change to existing environment.  A little about you:  Responsible for the infrastructure network design, implementation, testing, security, managing and maintenance of proposed system Lead a team of network engineers Provide technical documentation support to Project & Solutions Teams, as well as hand over as-built system documentation to Maintenance support team Respond promptly to incident, root cause analysis & provide temporary and/or permanent resolution of incidents escalated. Provide timely status updates to relevant parties Engage with back-line support and/or with vendor’s support to diagnose and rectify technical problems. Implement service continuity measures, i.e., backup/restore procedures & disaster recovery plan, to ensure continuous operation of the business. Assist in day-to-day operation of the System Delivery team. Carry out other technical related duties that may be required. Attain key certifications for partnership with key vendors.  What you might also need to have:  Proficient in performing network analysis and troubleshooting using network and protocol analyzers Network certification in CCNA/CCNP/CCIE is a plus Good understanding of network system, network architecture, routing, switching, firewall and security Good interpersonal and communication skills with ability to explain technology from a customer perspective Bachelor’s degree or higher in Computer Science/Information Technology/Engineering or equivalent 2 years of experience in configuring and administering routers and switches (e.g. Cisco routers and switches, etc), firewall products (e.g. CheckPoint, Forcepoint, etc.), F5 Load Balancers, AAA, NTP, IPS 24 x 7 standby support as required",https://www.mycareersfuture.gov.sg/job/information-technology/senior-network-engineer-ncs-a7cca527e7511e6a3b4c2c31b4d9ed97?source=MCF&event=Search
Java Developer,TANGSPAC CONSULTING PTE LTD,N/A,Information Technology,Contract,Executive,4 years exp,"$6,000to$7,500","Job Description:   Analyze, design, program, test, document and maintain IT systems or applications Provide maintenance support to customers (internal and/or external) by investigating and rectifying reported systems shortcomings. Analyze requests for enhancements/changes and write amendment/program specifications. Update system documentation. Perform and manage stages of the SDLC and participate in the systems review with Project Lead/Manager. Understand the interdependencies of the services (application, system and database) and able to pin-point problem areas accurately to improve overall efficiency. Design and document system design, architecture and propose appropriate technologies and tools required to implement systems; and ensure users sign-off on design specifications. Use development tools to develop applications for better productivity. Develop test cases, conduct SIT, load test and tune the performance of systems to meet SLA. Deploy systems to production and provide post-implementation support. Provide technical guidance to junior colleagues in their work  Requirements:   Possess   good experience developing Java EE web application and Java UI frameworks 5-10 years of experience in systems analysis, design, programming with knowledge of one or more of the following technologies:o            Java, Java EE & ReactJS, Struts, JSF, Spring, EJB, Hibernate, IBatis Weblogic Application Server, Elixir, Oracle DB, LDAP, MQ Series JBoss Application Server, Apache Tomcat, ESB",https://www.mycareersfuture.gov.sg/job/information-technology/java-developer-tangspac-consulting-b068919db1085892b795b1aa7724747d?source=MCF&event=Search
Java Developer,THE EDGE CONTRACTING SERVICES PTE. LTD.,"SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623",Information Technology,Contract,Senior Executive,5 years exp,"$5,000to$7,000","Java Software Developer - Singapore | Java | Spring | Hibernate | MySQL | We are seeking candidates with a minimum of 4 years of hands-on experience in Java software development. In this role, you will contribute to the modernization of legacy software, with ample opportunities for career advancement and the chance to broaden your expertise in diverse tech stacks. What to look out for:  World Class Digital Solutions Company with Enterprise-level projects. Excellent Career Progression Opportunities awaits. Rated above 4 in Glassdoor and scored better than average in Work-Life Balance.  Day-to-Day Responsibilities:  System Development: Analyze, design, develop, test, document, and maintain IT systems or applications. Support: Investigate and resolve system issues for clients. Enhancements: Analyze and specify changes or enhancements. Documentation: Update system documentation. SDLC Management: Manage stages of the SDLC and participate in reviews. Efficiency: Understand system interdependencies to identify and resolve issues. System Design: Design system architecture and propose technologies. Development Tools: Use tools to improve productivity. Testing: Develop test cases, conduct testing, and optimize performance. Deployment: Deploy systems and provide post-implementation support.  Requirement:  4+ years of experience in Java software development, systems analysis, designing, programming  ➢ Java, Java EE ➢ Struts, JSF, Spring, EJB, Hibernate, IBatis ➢ Weblogic Application Server, Elixir, Oracle DB, LDAP, MQ Series ➢ JBoss Application Server, Apache Tomcat, ESB ➢ Oracle Database, SQL, PL/SQL  Experience in front-end development using ReactJS is a plus. Experience in Tech refresh projects is a plus  This is a 2-year Contract to start and is convertible to permanent.",https://www.mycareersfuture.gov.sg/job/information-technology/java-developer-edge-contracting-services-50d62c1a5b33a150d26067cbc19e5ac6?source=MCF&event=Search
Software Developer (.Net),THE EDGE CONTRACTING SERVICES PTE. LTD.,"SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623",Information Technology,Contract,Executive,4 years exp,"$5,000to$7,000","C# Software Developer – Singapore We are seeking an experienced C# Software Developer with a minimum of 2 years of hands-on experience in .NET Framework or ASP.NET software development to build scalable, high-quality software solutions that drive business success. Job Overview As a C# Software Developer, you will leverage your expertise in .NET Framework or ASP.NET to develop, maintain, and enhance robust applications. Collaborating with a dynamic in-house development team, you will contribute to projects that demand technical precision and creativity. This role offers a rewarding opportunity to work in a fast-paced environment while driving impactful technological advancements. Why Join Us?  Career Growth: This role offers significant growth opportunities, allowing you to expand your skills and advance in a dynamic, innovative environment. Innovative Projects: Be at the core of impactful digital transformation, working with cutting-edge tools and technologies. Salary Package: $5000 - $7000  Responsibilities:  Analyzing, designing, programming, testing, documenting and maintaining IT applications Performing Service Request submission and deployment support activities for the different environment. (SIT, UAT, PROD) Updating system documentation. Performing and managing stages of the SDLC and participate in the systems review with Project Lead/Manager. Developing applications for better productivity using development tools Designing and documenting system design, architecture and propose appropriate technologies and tools required to implement systems; and ensure users sign-off on design specifications.  Requirements:  Bachelor’s degree in Computer Science, Software Engineering, or related field. 2+ years of experience in C# .NET Framework / ASP.NET / WPF Familiar with relational database concepts and SQL Server Experience in Git and good knowledge in Git workflow Experience in productivity tools such as Jira and Confluence Experience working in an agile scrum environment Knowledge in Jenkins and Kubernetes is a plus  This is a 2 years contract, renewable and convertible to permanent.",https://www.mycareersfuture.gov.sg/job/information-technology/software-developer-edge-contracting-services-626a292b691a0069ec6bcf5e9a7ea11f?source=MCF&event=Search
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mycareersfuture.gov.sg/job/education-training/middle-school-science-teacher-german-european-school-singapore-3b4595adc2c1202b1dd5e5a31dfbaf75?source=MCF&event=Search
Middle School EAL Teacher,GERMAN EUROPEAN SCHOOL SINGAPORE (DEUTSCHE EUROPAEISCHE SCHULE SINGAPUR),N/A,Education and Training,"Contract, Full Time",Professional,4 years exp,"$7,400to$13,000","The German European School Singapore (GESS) is looking for expressions of interest for an experienced Middle School EAL Teacher for Grades 6-8.  In your teaching commitment at GESS, you will need to take on the following responsibilities where you will be expected to:  · Develop a strong relationship with all parents and students · Be a role model who mentors and guides students to ensure they meet their full potential · Actively review student assessment data, including academic, behavioral and social/emotional, to set learning goals, develop student agency and put in place interventions to ensure successful learning of each individual  Responsibilities  - Assist with the development and implementation of the GESS EAL Foundations programme including English Language acquisition and development for beginning EAL students and supporting their development in other subjects, and EAL after school support for Grades 8-10 students - Prepare, teach and assess students in the GESS EAL Foundation programme - Collaborate regularly with EAL, SSS team and leadership - Communicate with parents - Support teaching staff to deliver a high-quality MYP Programme with tier 1 in-class supports - Develop, update and maintain curriculum documents - Administer WIDA and OPT assessments and share accommodations based on student specific levels  Experience and Qualifications  - Recognised teaching qualification (minimum B.Ed or PGCE equivalent) - Tertiary educational background - At least 2 years of EAL teaching experience - Knowledge and understanding of content and language integrated learning methods preferable - Articulate and effective written and oral communication in English - Ability to work independently and as part of a team - Willingness to adapt to and embrace a new school environment - Willingness to contribute and champion educational change that supports best practices and improves student learning  Professional Expertise  - Cognitive Activation / Pedagogical Subject Knowledge: The teacher has a deep understanding of the curriculum, pedagogy, subject content, and the developmental needs of students to effectively provide rich learning experiences. - Classroom Management: The teacher understands the importance of establishing routines and procedures and providing a safe, supportive, student-centred learning environment. - Formative Assessment: The teacher can effectively use differentiated assessment tools and strategies and understands how to make accommodations for individual students that drive learning forward. - Student Well-being & Safeguarding: The teacher is a caretaker of the student’s social health and emotional well-being. They support healthy peer relationships and interactions. At the same time, they are guiding individual emotional, well-being and social development. - Professionalism: The teacher is committed to professional ethics, international-mindedness, and the school’s mission; collaborates and communicates appropriately and takes responsibility for professional growth that enhances student learning.  Keen to collaborate and share your specialist expertise, you will be a fitting ambassador for the school. You will communicate with confidence across diverse audiences and situations, using your expertise to build strong relationships across the GESS community.  Our School The German European School Singapore (GESS) is a multi-lingual, not-for-profit, German international school in Singapore with a distinct European flavour. As an accredited ‘Excellent German School Abroad’, the German Section of GESS offers all major German school leaving certificates.  Our European Section offers tuition in English for students from grade 1 - 12 across all three IB programmes (the PYP, the MYP and the IB Diploma Programme) as an authorised IB World School.  Children aged 2 years onwards can enroll in our Preschool where children are following the PYP programme in German-speaking, English-speaking or bilingual groups. In addition to an outstanding academic education, GESS strives to teach students community values such as respect, openness and diversity.  To Apply We offer an exciting working environment in an international and cooperative team. Your application should include a letter of application and your complete resume. Please indicate your reasons for applying for the position.  Our Selection Process At GESS we adhere to fair employment practices that consist of hiring practices that are fair, merit-based and non-discriminatory.  We are committed to providing a world class, safe, happy environment in which children and young people are able to thrive and learn. We are committed to safeguarding and child protection as we promote the welfare of all our pupils irrespective of race, ability, religion, gender or culture.  All post holders are subject to appropriate vetting procedures including satisfactory reference and background checks and the offer of employment will be subject to the completion of these.  Please note, that only shortlisted candidates will be notified.",https://www.mycareersfuture.gov.sg/job/education-training/middle-school-eal-teacher-german-european-school-singapore-030a18cfff3330e25299f221bd3f4352?source=MCF&event=Search
Middle School English and I&S  /  Humanities Teacher,GERMAN EUROPEAN SCHOOL SINGAPORE (DEUTSCHE EUROPAEISCHE SCHULE SINGAPUR),N/A,Education and Training,"Contract, Full Time",Professional,4 years exp,"$7,400to$13,000","The German European School Singapore (GESS) is looking for experienced Middle School English and I&S / Humanities Teacher for Grades 6-8 covering the MYP IB Curriculum, commencing on 1 August 2025.  In your teaching commitment at GESS, you will need to take on the following responsibilities where you will be expected to:  · Develop a strong relationship with all parents and students · Be a role model who mentors and guides students to ensure they meet their full potential · Actively review student assessment data, including academic, behavioral and social/emotional, to set learning goals, develop student agency and put in place interventions to ensure successful learning of each individual. Experience and Qualifications  Recognised teaching qualification (minimum B.Ed or PGCE equivalent) Tertiary educational background At least 4 years teaching experience Knowledge, understanding and teaching experience of the IB Middle Years Programme and/or IB Diploma Programme Articulate and effective written and oral communication in English Ability to work collaboratively, professionally and effectively within a team Experience of working in an international school setting advantageous Willingness to adapt to and embrace a new school environment Willingness to contribute and champion educational change that supports best practice and improve student learning  Professional Expertise  Cognitive Activation / Pedagogical Subject Knowledge: The teacher has a deep understanding of the curriculum, pedagogy, subject content, and the developmental needs of students to effectively provide rich learning experiences. Classroom Management: The teacher understands the importance of establishing routines and procedures and providing a safe, supportive, student-centered learning environment. Formative Assessment: The teacher can effectively use differentiated assessment tools and strategies and understands how to make accommodations for individual students that drive learning forward. Student Well-being & Safeguarding: The teacher is a caretaker of the student’s social health and emotional well-being. They support healthy peer relationships and interactions. At the same time, they are guiding individual emotional, well-being and social development through the application of restorative practices. Professionalism: The teacher is committed to professional ethics, international-mindedness, and the school’s mission; collaborates and communicates appropriately and takes responsibility for professional growth that enhances student learning.   Keen to collaborate and share your specialist expertise, you will be a fitting ambassador for the school. You will communicate with confidence across diverse audiences and situations, using your expertise to build strong relationships across the GESS community.  Our School The German European School Singapore (GESS) is a multi-lingual, not-for-profit, German international school in Singapore with a distinct European flavour. As an accredited ‘Excellent German School Abroad’, the German Section of GESS offers all major German school leaving certificates.  Our European Section offers tuition in English for students from grade 1 - 12 across all three IB programmes (the PYP, the MYP and the IB Diploma Programme) as an authorised IB World School.  Children aged 2 years onwards can enroll in our Preschool where children are following the PYP programme in German-speaking, English-speaking or bilingual groups. In addition to an outstanding academic education, GESS strives to teach students community values such as respect, openness and diversity.  To Apply We offer an exciting working environment in an international and cooperative team. Your application should include a letter of application and your complete resume. Please indicate your reasons for applying for the position.  Our Selection Process At GESS we adhere to fair employment practices that consist of hiring practices that are fair, merit-based and non-discriminatory.  We are committed to providing a world class, safe, happy environment in which children and young people are able to thrive and learn. We are committed to safeguarding and child protection as we promote the welfare of all our pupils irrespective of race, ability, religion, gender or culture.  All post holders are subject to appropriate vetting procedures including satisfactory reference and background checks and the offer of employment will be subject to the completion of these.  Please note, that only shortlisted candidates will be notified.",https://www.mycareersfuture.gov.sg/job/education-training/middle-school-english-is-humanities-teacher-german-european-school-singapore-b715c0cd3a62256b77f581054cfd3cbe?source=MCF&event=Search
Retail Assistant,CARTOONSOUL PTE. LTD.,N/A,Sales / Retail,Full Time,Junior Executive,2 years exp,"$2,000to$2,500","Job Responsibilities · Manage the daily operational activities and oversee the store · Attending to walk-in customers in a prompt and friendly manner · Maintaining the overall cleanliness and tidiness of the shop · Cashiering, arranging and replenishing of goods  Job Requirements: · 6 days work week (PH/Weekends Included) · No prior sales experience is required",https://www.mycareersfuture.gov.sg/job/sales/retail-assistant-cartoonsoul-1b6247f80e0a6287584fa4a7419fca9e?source=MCF&event=Search
Python - Full Stack developer role,TANGSPAC CONSULTING PTE LTD,N/A,Information Technology,Contract,Executive,5 years exp,"$8,000to$12,000","Job description:   Implementing Python based full stack application instances; analyse the impact on current/new system, research problems and   design and implement optimal solutions. Follow all the Change Management and Engineering Review processes. Ensure changes are completed according to the project and/or release schedule. Develop and maintain documentation which will include but is not limited to Standard Operating Procedures and System Architecture Guides and Diagrams adhering to organizational templates, policies, and standards. Ensure that the systems built conform to the requirements, principles and models that support the solution architecture overall roadmap. Communicate effectively with external and internal teams on technical delivery and system maintenance. Enforce technical quality in all aspects of project delivery, with Waterfall/Agile best practices and methods such as Scrum, CI/CD DevOps Practices, Test Driven Development, while adhering to SDM guidelines.  Requirements:   At least 6 years of experience in technical hands-on experience on development and implementation Experience in supporting implementing large-scale, highly available applications or large project implementation. Strong experience with Python based backend and high-end frontend frameworks. Experience with Waterfall/Agile best practices and methods such as Scrum, Continuous Integration, Test Driven Development Good interpersonal and communication skills, both verbal and written. Solid experience in solutioning and system design Experience in designing and implementing integration with MQ, microservices and high-volume batch processing. Strong experience in unit testing concepts and implementation for python & JavaScript components Solid experience in object-oriented design techniques, UML, and object modelling. Experience with Dev-Ops concepts, practice, and tools. Frontend   development: Vue/Nuxt3, CSS (SCSS). Backend   development: Python/Django/REST API   Frameworks. OS skills:   Linux/Unix with Shell Scripting. Database   skills: MS-SQL / Oracle. (Design, Query using SQL, Optimize Queries).",https://www.mycareersfuture.gov.sg/job/information-technology/python-full-stack-developer-role-tangspac-consulting-adfd32c5e882bcea1fccc9bd8340f688?source=MCF&event=Search
Environmental Control Officer (ECO),CCECC SINGAPORE PTE LTD,N/A,"Building and Construction, Engineering","Permanent, Full Time",Junior Executive,4 years exp,"$3,000to$4,300","Environmental Control Officer (ECO) cum Safety Coordinator  Primary Objective Ensure construction projects comply with environmental regulations and minimize environmental impact. Plan, manage, and ensure workplace safety and health compliance Familiar with NEA, MOM regulations and WSH Coordinator duties Advise and act on measures to improve workplace safety and health Conduct WSH compliance an daily inspection of project activities  Key Activities  1. Environmental Compliance and Monitoring  Ensure all construction activities comply with local environmental laws, regulations, and project-specific requirements. Monitor site activities to identify potential environmental risks and implement mitigation measures. Conduct regular site inspections to ensure proper implementation of environmental control measures.  2. Waste and Pollution Management  Oversee the proper handling, storage, and disposal of construction waste materials. Implement pollution prevention measures, including noise, dust, and water pollution controls. Monitor wastewater discharge and ensure compliance with discharge permits.  3. Environmental Documentation  Prepare and maintain environmental management plans (EMP), reports, and checklists. Submit periodic environmental compliance reports to authorities and project stakeholders. Maintain records of environmental incidents and the corrective actions taken.  4. Training and Awareness  Conduct training sessions for site staff on environmental best practices and compliance requirements. Raise awareness among workers about environmental protection and sustainability.  5. Liaison with Authorities and Stakeholders  Act as the point of contact with environmental authorities and regulatory bodies during inspections or audits. Work with project managers, engineers, and subcontractors to resolve environmental issues.  6. Incident Response and Risk Mitigation  Respond to environmental incidents promptly and implement corrective actions. Conduct root cause analyses of environmental non-compliance or accidents.  7. Sustainable Practices  Promote the use of eco-friendly construction materials and techniques. Advocate for sustainable practices in resource use, such as energy and water conservation.  8. Reporting and Advising  Provide regular updates to senior management on environmental performance and areas for improvement. Advise on potential environmental risks and recommend preventive measures.",https://www.mycareersfuture.gov.sg/job/building-construction/environmental-control-officer-ccecc-singapore-ee9c67d8e097a5c526a1ca73be81d4f8?source=MCF&event=Search
